front,back,apUnit,geoSpriteCategory,reasoningProcess,difficulty,mustKnow
"Compare the Marshall Plan and Comecon using the Economic (E) lens.","Marshall Plan: American aid rebuilt Western European economies, encouraged cooperation, created prosperity. Comecon: Soviet economic bloc subordinated Eastern European economies to Soviet needs, centralized planning, produced stagnation. Same goal (economic alignment with a superpower), opposite results.",9,E,comparison,medium,yes
"Compare the Hungarian Revolution (1956) and the Solidarity movement (1980s) using the Political (P) lens.","Hungary 1956: spontaneous uprising crushed by Soviet tanks; demonstrated that Moscow would use force. Solidarity 1980s: sustained movement combining workers, intellectuals, and the Church; succeeded because the USSR under Gorbachev was unwilling/unable to intervene. Same impulse, different outcomes -- timing and Soviet capacity mattered.",9,P,comparison,hard,yes
"Compare Western European welfare states and Soviet planned economies using the Economic (E) and Social (S) lenses.","Welfare states: mixed economies with private ownership plus social safety nets (healthcare, pensions, unemployment insurance); maintained individual choice. Soviet system: state ownership of all means of production, centralized allocation, guaranteed employment but restricted freedom. Both promised security; one delivered it with freedom, the other without.",9,E,comparison,medium,yes
"Write a contextualization starter for a prompt about the Protestant Reformation.","Before Luther's 95 Theses challenged papal authority, Renaissance humanism had already equipped European thinkers with the tools of textual criticism and the printing press had created the infrastructure for ideas to spread rapidly -- turning what might have been a local theological dispute into a continent-wide movement within weeks.",2,R,context,medium,yes
"Write a contextualization starter for a prompt about the Scientific Revolution.","Before Copernicus and Galileo overturned centuries of accepted cosmology, the Renaissance had already demonstrated that classical authority could be questioned and that direct observation of the world could yield knowledge superior to inherited tradition.",4,I,context,medium,yes
"Write a contextualization starter for a prompt about the French Revolution.","Before the French Revolution attempted to rebuild society on Enlightenment principles, a century of philosophical argument -- from Locke's natural rights to Rousseau's popular sovereignty -- had already provided the intellectual ammunition to challenge the legitimacy of absolute monarchy and hereditary privilege.",5,I,context,medium,yes
"Write a contextualization starter for a prompt about the Industrial Revolution.","Before factories transformed European economies, the Agricultural Revolution had already increased food production through enclosure, crop rotation, and selective breeding, creating both the surplus labor and the surplus food that made urbanization and industrial growth possible.",6,E,context,medium,yes
"Write a contextualization starter for a prompt about European imperialism in Africa.","Before the Scramble for Africa divided the continent among European powers, industrialization had already given European states the military technology (machine guns, steamships), the economic motivation (demand for raw materials and markets), and the communication infrastructure (telegraph, railways) to project power across the globe.",7,T,context,medium,yes
"Write a contextualization starter for a prompt about the rise of fascism.","Before fascism seized power in Italy and Germany, World War I had already shattered faith in liberal democracy by revealing that the civilized nations of Europe could slaughter millions in a pointless war -- and the Great Depression then destroyed the economic foundations on which democratic legitimacy rested.",8,P,context,medium,yes
"Write a contextualization starter for a prompt about the Cold War in Europe.","Before the Iron Curtain divided Europe, two world wars had already demonstrated that European nationalism, unchecked by supranational structures, could produce catastrophic destruction -- making the continent ripe for reorganization by the two superpowers that emerged from the rubble.",9,P,context,medium,yes
"Write a contextualization starter for a prompt about absolutism.","Before Louis XIV perfected absolutism at Versailles, the devastating Wars of Religion and the Thirty Years' War had convinced many Europeans that only a powerful, centralized monarchy could prevent the kind of chaos and bloodshed that had consumed the continent for over a century.",3,P,context,medium,yes
"Write a contextualization starter for a prompt about the Congress of Vienna.","Before Metternich and the conservative powers attempted to restore the old order at the Congress of Vienna, twenty-five years of revolution and Napoleonic warfare had demonstrated both the power and the danger of Enlightenment political ideals -- making conservative leaders determined to suppress them permanently.",5,P,context,medium,yes
"Write a contextualization starter for a prompt about the revolutions of 1848.","Before liberal and nationalist movements erupted across Europe in 1848, decades of conservative repression under the Concert of Europe had failed to eliminate the Enlightenment ideals of popular sovereignty and national self-determination -- they had merely driven them underground, where industrialization and urbanization gave them a growing audience.",7,I,context,medium,yes
"Write a contextualization starter for a prompt about German unification.","Before Bismarck unified Germany through blood and iron, the failure of the 1848 Frankfurt Parliament had already demonstrated that liberal nationalism alone could not overcome the resistance of entrenched conservative powers -- creating the conditions for a top-down, militaristic path to unification.",7,P,context,hard,yes
"Write a contextualization starter for a prompt about WWI.","Before the assassination of Archduke Franz Ferdinand triggered the chain of alliances that produced a continental war, decades of imperial competition, arms races, and nationalist agitation had already created a European order so fragile that any major crisis could shatter it.",8,P,context,medium,yes
"Write a contextualization starter for a prompt about the Holocaust.","Before the Nazis implemented the Final Solution, centuries of European antisemitism -- from medieval religious persecution to 19th-century racial pseudoscience to the political antisemitism exposed by the Dreyfus Affair -- had already created the cultural preconditions for dehumanization on an unprecedented scale.",8,S,context,hard,yes
"Write a contextualization starter for a prompt about European integration.","Before the Treaty of Rome created the European Economic Community, the catastrophic self-destruction of two world wars had convinced key European leaders like Schuman and Monnet that economic interdependence was the only way to make war between European nations ""not merely unthinkable, but materially impossible.""",9,E,context,medium,yes
"Write a contextualization starter for a prompt about the collapse of communism in Eastern Europe.","Before the Berlin Wall fell in 1989, decades of economic stagnation, political repression, and the visible contrast between Western prosperity and Eastern scarcity had already hollowed out the communist system's legitimacy -- Gorbachev's reforms simply removed the last prop holding up a structure that was already collapsing from within.",9,E,context,medium,yes
"Write a contextualization starter for a prompt about the Columbian Exchange.","Before Columbus's voyage initiated the massive biological and cultural exchange between the Old and New Worlds, the fall of Constantinople had already disrupted Europe's access to eastern trade routes, creating the economic incentive for Atlantic exploration that made the encounter possible.",1,G,context,medium,yes
"Write a contextualization starter for a prompt about Napoleon.","Before Napoleon seized power and exported revolutionary ideals across Europe by conquest, the French Revolution had already demonstrated both the transformative potential and the terrifying instability of Enlightenment political principles -- the Terror proved that reason could justify destruction as easily as liberation.",5,P,context,hard,yes
"Write a contextualization starter for a prompt about the women's suffrage movement.","Before organized suffrage movements demanded the vote for women in the late 19th century, the Enlightenment's claim of universal natural rights had already created an intellectual contradiction that thinkers like Mary Wollstonecraft exposed: if reason is universal, then excluding half of humanity from political participation is irrational by the Enlightenment's own standards.",7,S,context,hard,no
"Write a contextualization starter for a prompt about decolonization.","Before independence movements dismantled European colonial empires after 1945, two world wars had already fatally weakened the European states that controlled them, while the democratic and self-determination principles those states claimed to fight for provided colonized peoples with the very arguments they needed to demand freedom.",9,P,context,medium,yes
"Write a contextualization starter for a prompt about the Russian Revolution.","Before Lenin and the Bolsheviks seized power in October 1917, three years of catastrophic military defeats, food shortages, and the collapse of tsarist authority had already destroyed the Russian state's ability to function -- the Revolution did not overthrow a strong government but filled the vacuum left by a disintegrating one.",8,P,context,hard,yes
"Write a contextualization starter for a prompt about 19th-century socialism.","Before Marx published the Communist Manifesto in 1848, decades of industrialization had already created the conditions that made socialist ideas appealing: factory labor stripped workers of autonomy, urbanization concentrated them in miserable conditions, and the stark contrast between bourgeois wealth and proletarian poverty made inequality impossible to ignore.",6,S,context,medium,yes
"Write a contextualization starter for a prompt about the English Civil War.","Before Parliament and the crown clashed in the English Civil War, decades of tension over taxation, religious policy, and royal prerogative had already demonstrated that the Stuart monarchs' claims to absolute authority were fundamentally incompatible with Parliament's claims to represent the English people's liberties.",3,P,context,hard,no
"What caused the Atlantic shift in European trade? Use at least 2 Geo-SPRITE lenses.","Geography (G): The fall of Constantinople (1453) disrupted traditional eastern land routes, while Portugal and Spain's Atlantic-facing coastlines gave them a geographic advantage for oceanic exploration. Technology (T): Portuguese innovations in shipbuilding (caravel), navigation (compass, astrolabe), and cartography made long-distance ocean voyages possible. Economic (E): The resulting Atlantic trade (silver, sugar, slaves) created a new commercial system that made Atlantic-facing states dominant.",1,G,causation,medium,yes
"What caused the spread of the Protestant Reformation? Use at least 2 Geo-SPRITE lenses.","Religious (R): Luther's theological challenge to papal authority (indulgences, sola fide) tapped into widespread grievances about Church corruption. Technology (T): The printing press turned Luther's local protest into a viral movement, spreading pamphlets across Germany in weeks. Political (P): German princes supported Luther because breaking from Rome meant seizing Church lands and asserting independence from the Emperor.",2,R,causation,medium,yes
"What caused the French Revolution? Use at least 2 Geo-SPRITE lenses.","Economic (E): France's fiscal crisis from war debts forced Louis XVI to call the Estates-General -- money was the immediate trigger. Intellectual (I): Enlightenment ideas (Locke, Rousseau, Voltaire) had already delegitimized absolute monarchy and hereditary privilege in the minds of the educated Third Estate. Social (S): Resentment between the privileged First and Second Estates and the tax-burdened Third Estate provided the social fuel. The fiscal crisis lit the match; ideology shaped the explosion.",5,E,causation,medium,yes
"What caused the Industrial Revolution to begin in Britain? Use at least 2 Geo-SPRITE lenses.","Geographic (G): Britain had abundant coal and iron deposits, navigable rivers and canals, and island geography that protected it from continental wars. Economic (E): Capital accumulated from colonial trade and a strong banking system funded industrial investment. Technology (T): Specific innovations (steam engine, spinning jenny, water frame) mechanized production. Social (S): Enclosure created a mobile labor force displaced from the land.",6,G,causation,medium,yes
"What caused the rise of Nazi Germany? Use at least 2 Geo-SPRITE lenses.","Political (P): The Versailles Treaty humiliated Germany; the Weimar Republic's weak institutions couldn't withstand crisis; conservative elites empowered Hitler thinking they could control him. Economic (E): The Great Depression destroyed the German economy (30% unemployment), radicalizing millions who lost faith in liberal democracy. Intellectual (I): Nazi ideology combined ultranationalism, racial pseudoscience, and anti-Marxism into a comprehensive worldview. No single lens is sufficient -- the chain required all three.",8,P,causation,hard,yes
"What caused European imperialism in the late 19th century? Use at least 2 Geo-SPRITE lenses.","Economic (E): Industrialization created demand for raw materials and new markets that domestic economies couldn't satisfy. Technology (T): Machine guns, steamships, quinine, and the telegraph gave Europeans decisive military and logistical advantages. Intellectual (I): Social Darwinism and the ""civilizing mission"" provided ideological justification. Political (P): Imperial competition between European states made colonies a matter of national prestige.",7,E,causation,medium,yes
"What caused the collapse of the Soviet Union? Use at least 2 Geo-SPRITE lenses.","Economic (E): Central planning failed to match Western productivity and consumer standards; military spending drained resources. Political (P): Gorbachev's reforms (glasnost, perestroika) unleashed political forces he couldn't control; nationalist movements in Soviet republics demanded independence. Intellectual (I): Decades of dissident thought (Sakharov, Havel's Charter 77, Solidarity) had already delegitimized the communist system from within.",9,P,causation,hard,yes
"What caused World War I? Use at least 2 Geo-SPRITE lenses.","Political (P): Alliance systems (Triple Alliance vs. Triple Entente) turned a regional crisis into a continental war; imperial rivalries and Balkan nationalism created the trigger. Technology (T): Military technology (railways for mobilization, machine guns, artillery) made states confident they could win quickly and made mobilization nearly irreversible once started. Economic (E): Industrial competition between Britain and Germany fueled strategic rivalry.",8,P,causation,medium,yes
"What caused the transition from mercantilism to free-market economics? Use at least 2 Geo-SPRITE lenses.","Intellectual (I): Adam Smith's Wealth of Nations (1776) provided the theoretical demolition of mercantilism, arguing that free markets create more wealth than state control. Economic (E): Britain's industrial dominance made free trade advantageous -- the strongest competitor benefits most from open markets. Political (P): The rising industrial bourgeoisie demanded the end of trade restrictions that benefited landed aristocrats.",6,I,causation,hard,yes
"What caused the shift from religious to secular authority in Europe? Use at least 2 Geo-SPRITE lenses.","Religious (R): The Reformation shattered Christian unity, weakening the Church's claim to universal authority. Political (P): State-builders from Henry VIII to Louis XIV seized Church power and wealth to strengthen their own authority. Intellectual (I): The Enlightenment provided philosophical arguments for separating church and state, redefining legitimate authority as based on reason rather than revelation.",4,R,causation,hard,yes
"What caused the development of the European welfare state? Use at least 2 Geo-SPRITE lenses.","Social (S): Industrialization created a working class that suffered poverty, dangerous conditions, and insecurity, generating mass demand for protection. Political (P): Politicians from Bismarck (conservative co-optation) to Beveridge (wartime solidarity) created welfare programs to prevent revolution or build postwar consensus. Economic (E): Industrial productivity generated the surplus wealth needed to fund social programs.",6,S,causation,hard,yes
"What caused European integration after WWII? Use at least 2 Geo-SPRITE lenses.","Political (P): Two catastrophic world wars convinced leaders that nationalist competition had to be replaced by institutional cooperation. Economic (E): The Marshall Plan required European cooperation, and the ECSC deliberately made France and Germany economically interdependent. Geographic (G): Europe's physical devastation and the Iron Curtain's geographic division made integration both urgent and initially limited to the West.",9,E,causation,medium,yes
"What caused the shift from liberal nationalism (1848) to aggressive nationalism (1870s-1914)? Use at least 2 Geo-SPRITE lenses.","Political (P): The failure of 1848 liberal revolutions showed that idealism alone couldn't build nations; Bismarck's success proved that military power worked. Intellectual (I): Social Darwinism and racial theories reconceived nations as biological organisms competing for survival, replacing liberal universalism with exclusionary chauvinism. Economic (E): Industrial competition between states made nationalism an instrument of economic rivalry.",7,I,causation,hard,yes
"What caused the Thirty Years' War? Use at least 2 Geo-SPRITE lenses.","Religious (R): Unresolved tensions between Catholics, Lutherans, and Calvinists in the Holy Roman Empire (the Peace of Augsburg excluded Calvinism). Political (P): German princes used religion to resist Habsburg centralization; foreign powers (France, Sweden, Denmark) intervened for strategic advantage. The war started religious but became political -- Catholic France allied with Protestant Sweden against the Catholic Habsburgs.",2,R,causation,hard,yes
"What caused the radical phase of the French Revolution (1792-1794)? Use at least 2 Geo-SPRITE lenses.","Political (P): Foreign war (Austria, Prussia declared war) created an existential crisis that empowered radical Jacobins who promised total defense. Social (S): The Parisian sans-culottes -- urban workers and shopkeepers radicalized by bread shortages -- provided the street muscle for increasingly extreme measures. Intellectual (I): Rousseau's concept of the ""general will"" gave Robespierre philosophical justification for the Terror as the enforcement of collective virtue.",5,P,causation,hard,yes
"What caused Peter the Great to westernize Russia? Use at least 2 Geo-SPRITE lenses.","Political (P): Russia's humiliating defeat at Narva (1700) by Sweden exposed the military backwardness that threatened the state's survival. Technology (T): Peter recognized that Western military technology, shipbuilding, and administrative systems were essential for competing with European powers. Economic (E): Modernization required new industries, ports (St. Petersburg), and trade connections with Western Europe.",3,T,causation,medium,yes
"What caused the decline of the Ottoman Empire by the 19th century? Use at least 2 Geo-SPRITE lenses.","Technology (T): The Ottomans fell behind in military technology as European states industrialized warfare. Economic (E): The shift to Atlantic trade marginalized the Ottoman Empire's position as a middleman between East and West. Political (P): Nationalist movements among subject peoples (Greeks, Serbs, Bulgarians), inspired by Enlightenment ideas, fragmented the empire from within.",7,P,causation,hard,no
"What caused decolonization after 1945? Use at least 2 Geo-SPRITE lenses.","Political (P): WWII fatally weakened European colonial powers and created Cold War pressure from both superpowers (who opposed European empires for different reasons). Intellectual (I): Colonial subjects adopted European ideas of self-determination and national sovereignty and turned them against the colonizers. Economic (E): Maintaining empires became more expensive than the economic benefits they produced, especially for war-devastated European states.",9,I,causation,medium,yes
"What caused the Great Depression's political effects in Europe? Use at least 2 Geo-SPRITE lenses.","Economic (E): Mass unemployment, bank failures, and trade collapse destroyed the material basis of liberal democratic legitimacy. Political (P): Desperate populations turned to radical alternatives -- communism and fascism -- that promised decisive action. Intellectual (I): Fascist and communist ideologies offered comprehensive explanations for the crisis and total programs for recovery, while liberal democrats seemed paralyzed.",8,E,causation,medium,yes
"What caused the English Civil War? Use at least 2 Geo-SPRITE lenses.","Political (P): Stuart kings' claims to absolute authority (divine right, Ship Money tax) clashed directly with Parliament's claims to control taxation and legislation. Religious (R): Charles I's High Church policies alarmed Puritans and Presbyterians who feared a return to Catholicism. Economic (E): The crown's financial dependence on Parliament gave Parliament leverage that the king repeatedly tried to circumvent.",3,P,causation,hard,no
"Which Geo-SPRITE lens would you use as a secondary complexity lens for the Renaissance?","Geography (G). Most students focus on Intellectual and Economic lenses for the Renaissance, but the geographic fragmentation of the Italian peninsula enabled city-state competition that drove patronage and innovation. The Mediterranean-to-Atlantic shift also determined which states benefited long-term. G is the sleeper lens that earns complexity points.",1,G,application,medium,no
"A prompt asks about the effects of the printing press. How do you avoid the common mistake of treating it as a cause?","The printing press didn't CAUSE the Reformation or Scientific Revolution -- it was a necessary precondition. Use T (Technology) as an enabling lens, not a causal one. Good phrasing: ""The printing press created the infrastructure for..."" Bad phrasing: ""The printing press caused..."" This distinction between enabling conditions and direct causes is exactly what earns AP points.",1,T,application,hard,yes
"How would you use the price revolution as evidence in an essay about European exploration?","The price revolution (inflation caused by influx of American silver) is Economic (E) evidence that exploration's effects went far beyond discovery. Use it to show E -> S causation: rising prices benefited merchants and landlords who sold goods, but devastated wage laborers and those on fixed incomes, restructuring European social hierarchy.",1,E,application,hard,no
"A prompt asks about religious change in the 16th century. How do you earn the complexity point?","Use the Catholic Church's dual role: it was both the target of reform AND a reformer itself (Council of Trent). For complexity, note that Catholic France allied with Protestant Sweden in the Thirty Years' War -- proving that by the 1630s, state interest had already trumped religious loyalty. This R -> P evolution is the sophistication the AP rewards.",2,R,application,hard,yes
"How would you use the Edict of Nantes and its revocation as paired evidence?","The Edict (1598) shows pragmatic toleration after devastating religious wars (R -> P). Its revocation by Louis XIV (1685) shows that toleration could be reversed when absolutist power made it politically convenient. Use this pair to argue that early modern toleration was fragile and politically contingent, not a permanent achievement. This covers the R and P lenses across Units 2-3.",3,R,application,hard,yes
"How would you use Versailles (the palace) as evidence in an essay about absolutism?","Versailles isn't just architecture -- it's a Political (P) instrument. Louis XIV forced nobles to attend court, making them dependent on royal favor instead of building regional power bases. Use Social (S) as secondary: Versailles transformed the French nobility from a political class into a courtier class. The palace domesticated the nobles like pets in a very expensive cage.",3,S,application,medium,yes
"A DBQ about the Enlightenment includes a document by Catherine the Great. How would you analyze it?","Catherine's correspondence with Voltaire is classic ""enlightened despotism"" -- Intellectual (I) language serving Political (P) ends. Analyze the source's purpose: Catherine used Enlightenment rhetoric to legitimize her rule internationally while changing little domestically. After the Pugachev Rebellion, she abandoned even superficial reform. The gap between rhetoric and reality IS the analysis.",4,I,application,hard,yes
"How would you use the Declaration of the Rights of Man as evidence in a comparison essay about revolutions?","The Declaration (1789) is your anchor document for the Political (P) and Intellectual (I) lenses. Compare what it promises (universal rights, popular sovereignty) with what it delivered: women were excluded, colonial slavery continued until 1794, and the Revolution soon devoured its own creators. Use Social (S) to show who the ""universal"" rights actually applied to.",5,I,application,medium,yes
"How would you use child labor in mines as evidence in an essay about industrialization?","Child labor is powerful Social (S) evidence that industrialization's costs were borne disproportionately by the most vulnerable. Pair with Political (P): government eventually responded with Factory Acts, showing the shift from laissez-faire to state intervention. The image of 6-year-olds in coal mines is what turned public opinion against pure free-market ideology.",6,S,application,medium,yes
"How would you use the railway as evidence beyond transportation?","Railways are Technology (T) evidence that transforms every other lens. Economic (E): created national markets, concentrated capital. Political (P): enabled rapid military mobilization. Social (S): enabled mass migration from countryside to cities. Geographic (G): shrank effective distances, restructured economic geography. When an essay prompt touches any of these areas, railways work as evidence.",6,T,application,medium,yes
"A prompt asks about the failure of the 1848 revolutions. How do you argue they weren't a total failure?","Use Political (P) and Social (S) lenses to show lasting effects despite immediate political failure: serfdom ended in the Habsburg Empire, constitutional concessions were extracted, and the revolutions proved that liberal-nationalist demands couldn't simply be ignored. Even Bismarck co-opted nationalism precisely because 1848 showed its power. Failed revolutions can still transform politics.",7,P,application,hard,yes
"How would you use Social Darwinism as evidence in an essay about imperialism?","Social Darwinism is Intellectual (I) evidence that shows how pseudoscience was weaponized for Political (P) and Economic (E) purposes. Use it to argue that imperialism required ideological justification, not just material motivation. But note: Social Darwinism didn't cause imperialism -- it rationalized decisions driven by economic competition and nationalist prestige.",7,I,application,hard,yes
"How would you use the Wannsee Conference as evidence in an essay about the Holocaust?","The Wannsee Conference (1942) demonstrates the bureaucratic, systematic nature of the Holocaust. Use Political (P) and Technology (T) lenses: genocide was organized through modern administrative procedures -- memos, logistics, railway schedules. This distinguishes the Holocaust from earlier pogroms: it wasn't mob violence but state-organized industrial murder.",8,P,application,hard,yes
"How would you use Gorbachev's reforms as evidence in an essay about the Cold War's end?","Gorbachev's glasnost and perestroika are Political (P) and Economic (E) evidence that the Soviet system's collapse was partly self-inflicted. Use the Intellectual (I) lens for complexity: glasnost unleashed public criticism that delegitimized the regime, while perestroika failed to fix the economy. Gorbachev tried to save communism by reforming it, and accidentally destroyed it instead.",9,P,application,medium,yes
"How would you use Brexit as evidence in an essay about European integration?","Brexit (2016) is Political (P) evidence that European integration is reversible and contested. Use it for complexity: national identity (especially concerns about sovereignty and immigration) proved more politically powerful than economic arguments for remaining. Brexit shows mega-pattern #39 (national identity vs. EU identity) is unresolved.",9,P,application,hard,no
"How would you use the Luddite movement as evidence in an essay about resistance to industrialization?","Luddites aren't evidence of backward-looking irrationality -- they're Social (S) and Economic (E) evidence of rational resistance to the destruction of artisanal livelihoods. Use them to argue that workers understood exactly what mechanization meant for their autonomy and income. The standard narrative that they were ""anti-progress"" is itself a political argument that favored factory owners.",6,S,application,hard,no
"How would you use the Congress of Vienna as evidence in a CCOT essay about the European state system?","Vienna represents a crucial turning point in Political (P) and Geographic (G) terms: it formalized balance-of-power diplomacy as the organizing principle of European international relations, redrew borders to prevent any single state from dominating, and created the Concert of Europe for collective crisis management. Use it to show the transition from Napoleonic unilateral power to multilateral diplomacy.",5,P,application,medium,yes
"How would you use the Dreyfus Affair as evidence in an essay about nationalism?","The Dreyfus Affair is Social (S) and Political (P) evidence that nationalism's exclusionary, antisemitic dimension was powerful even in republican France. Use Intellectual (I) as complexity: the affair split France between Enlightenment universalism (Dreyfusards) and ethnic nationalism (anti-Dreyfusards), foreshadowing the 20th century's ideological battles.",7,S,application,hard,yes
"How would you use the Great Stink of London (1858) as evidence about urbanization?","The Great Stink -- when the Thames smelled so bad Parliament couldn't meet -- is surprisingly great Social (S) and Political (P) evidence. It shows that urbanization created public health crises so severe that even elites couldn't ignore them, directly causing government investment in sewers and public infrastructure. When the problem literally stinks up Parliament, policy follows.",6,S,application,medium,no
"How would you use the Napoleonic Wars as evidence about nationalism?","The Napoleonic Wars are Political (P) evidence that show nationalism's paradox: Napoleon spread revolutionary ideals (legal equality, rational administration) through conquest, but French occupation simultaneously provoked nationalist resistance in Spain, Germany, and Russia. The man who exported Enlightenment universalism accidentally invented modern nationalism as a reaction to his own imperialism.",5,P,application,hard,yes
"Compare the English Reformation and the German Reformation using the Political (P) and Religious (R) lenses.","English Reformation: driven by royal politics (Henry VIII's need for an annulment); the king remained theologically Catholic but politically broke from Rome; top-down state action. German Reformation: driven by theological debate (Luther's challenge to indulgences); princely support came from political opportunism; bottom-up theology adopted from above. England reformed the Church for the state; Germany reformed theology and the state followed.",2,R,comparison,hard,yes
"Compare the Edict of Nantes (1598) and the English Toleration Act (1689) using the Religious (R) lens.","Edict of Nantes: granted Huguenots significant religious rights and military strongholds in Catholic France; was revocable (and Louis XIV revoked it in 1685). Toleration Act: granted limited religious freedom to Protestant dissenters in England but excluded Catholics and atheists. Both were pragmatic, partial, and excluded some groups -- ""toleration"" was always conditional.",3,R,comparison,hard,no
"Compare Bacon's empiricism and Descartes's rationalism using the Intellectual (I) lens.","Bacon: knowledge comes from systematic observation and experimentation (inductive reasoning); ""knowledge is power."" Descartes: knowledge comes from deductive reasoning from self-evident principles (""I think, therefore I am""). Both rejected medieval reliance on authority, but Bacon trusted the senses while Descartes trusted the mind. Together they created the two pillars of modern scientific method.",4,I,comparison,medium,yes
"Compare enlightened despots (Frederick the Great, Catherine the Great) and genuine constitutional reform (Britain) using the Political (P) lens.","Enlightened despots used Enlightenment language but maintained autocratic power -- reforms served the state, not the people. British constitutionalism (imperfect as it was) distributed power through Parliament and protected rights through law. Enlightened despotism was Enlightenment as PR; British constitutionalism was Enlightenment (partially) in practice.",4,P,comparison,hard,yes
"Compare the French Revolution's Declaration of the Rights of Man (1789) and the Haitian Revolution using the Social (S) lens.","The Declaration proclaimed universal rights but French practice excluded women, enslaved people, and colonial subjects. The Haitian Revolution (1791-1804) applied those principles consistently -- enslaved people used French revolutionary language to justify their own liberation. Haiti exposed the hypocrisy: ""universal"" meant ""French and white"" until the enslaved said otherwise.",5,S,comparison,hard,yes
"Compare reactions to Napoleon in Spain and Germany using the Political (P) and Intellectual (I) lenses.","Spain: popular guerrilla resistance rooted in Catholic identity and local tradition; rejected French secularism. Germany: intellectual nationalist awakening (Fichte's Addresses to the German Nation) that reimagined Germans as a cultural nation needing political unity. Both resisted French occupation, but Spain's resistance was conservative and religious while Germany's produced liberal nationalism.",5,I,comparison,hard,no
"Compare the first Industrial Revolution (c. 1760-1870) and the Second Industrial Revolution (c. 1870-1914) using the Technology (T) lens.","First: steam power, textiles, iron, coal, railways. Transformed production and transport. Second: steel, chemicals, electricity, internal combustion engine. Created modern consumer society and corporate capitalism. The first made things; the second made everything faster, bigger, and deadlier. The second also gave us the technologies that made WWI catastrophic.",6,T,comparison,medium,yes
"Compare Western European industrialization (proletarianized labor) and Russian industrialization (serfdom until 1861) using the Social (S) lens.","Western Europe: serfdom declined centuries earlier; workers were legally free but economically exploited; gradual enfranchisement. Russia: serfdom persisted until 1861; rapid state-directed industrialization under Witte used semi-coerced labor; no democratic outlet for grievances. Russia tried to industrialize in decades what Britain did over a century, with much harsher human costs.",6,S,comparison,hard,yes
"Compare Mazzini's liberal nationalism and Bismarck's conservative nationalism using the Intellectual (I) lens.","Mazzini: nationalism = popular sovereignty + democracy + self-determination; the people create the nation through shared values. Bismarck: nationalism = state power + military force + Realpolitik; the state creates the nation through ""blood and iron."" Mazzini dreamed of a free Italy built from below; Bismarck built a powerful Germany from above. Same word, opposite methods.",7,I,comparison,medium,yes
"Compare British imperialism and French imperialism using the Intellectual (I) and Economic (E) lenses.","Britain: justified empire primarily through commercial interest and naval power; ""trade follows the flag."" France: justified empire through the ""civilizing mission"" -- spreading French culture, language, and republican values. Both were exploitative, but they told different stories about why. Britain was honest about profit; France pretended it was doing the world a favor.",7,E,comparison,medium,no
"Compare the Treaty of Versailles (1919) and the Congress of Vienna (1815) using the Political (P) lens.","Vienna: restored defeated France to the European system; balanced power among great powers; produced relative stability for decades. Versailles: humiliated defeated Germany; imposed harsh terms without full integration; produced resentment that fueled revanchism. Vienna chose magnanimity and got peace; Versailles chose punishment and got Hitler. Different diplomatic philosophies, dramatically different outcomes.",8,P,comparison,hard,yes
"Compare Soviet communism and Western liberal democracy during the Cold War using the Economic (E) and Political (P) lenses.","Soviet: state ownership, planned economy, single-party dictatorship; guaranteed employment but restricted freedom. Western: market economy (with welfare state variations), multiparty democracy, individual rights; produced prosperity but with inequality. Both systems promised modernity and security; the West delivered more of both, which is ultimately why the Cold War ended as it did.",9,E,comparison,medium,yes
"Compare the Eurozone crisis and Brexit as challenges to European integration using the Political (P) and Economic (E) lenses.","Eurozone crisis (2009-2015): exposed that monetary union without fiscal union creates structural problems; northern creditors vs. southern debtors; economic challenge to integration. Brexit (2016): exposed that national identity and sovereignty concerns could override economic arguments for integration; political/cultural challenge. Together they show integration is fragile on both economic and political fronts.",9,P,comparison,hard,no
"Compare Romanticism and Realism as responses to their historical contexts using the Intellectual (I) lens.","Romanticism (c. 1800-1850): reacted against Enlightenment rationalism and early industrialization with emotion, nature, folk culture, and national identity (Beethoven, Delacroix). Realism (c. 1850-1900): reacted against Romanticism's idealization by depicting industrial society's harsh realities (Dickens, Zola). Romanticism said ""feel""; Realism said ""look."" Both were reactions to what the previous era got wrong.",7,I,comparison,medium,yes
"Compare the impact of WWI on the Russian and German empires using the Political (P) lens.","Russia: military defeat and economic collapse triggered revolution (February 1917), then Bolshevik seizure of power (October 1917); produced communist dictatorship. Germany: military defeat triggered revolution (November 1918), abdication of the Kaiser, and the Weimar Republic; produced fragile democracy that eventually fell to Nazism. Same war, same imperial collapse, divergent political outcomes.",8,P,comparison,hard,yes
"Compare the Prague Spring (1968) and Gorbachev's reforms (1985-1991) using the Political (P) lens.","Prague Spring: Czechoslovak attempt at ""socialism with a human face"" crushed by Soviet tanks; demonstrated Moscow's willingness to use force. Gorbachev: Soviet leader's own reform attempt that spiraled beyond his control; demonstrated that the system couldn't be reformed without collapsing. Dubček proved reform from below was impossible; Gorbachev proved reform from above was equally impossible.",9,P,comparison,hard,yes
"Write a contextualization starter for a prompt about the Glorious Revolution.","Before William and Mary accepted the English Bill of Rights in 1689, decades of conflict between Stuart monarchs and Parliament -- from Charles I's attempt to rule without Parliament to the English Civil War to the Restoration's uneasy compromise -- had demonstrated that England's political future would be determined by the unresolved question of whether sovereignty belonged to the crown or to Parliament.",3,P,context,hard,yes
