id,date,startYear,endYear,precision,title,type,apUnit,apTopic,region,category,apTheme,tier,description,whyItMatters,causes,effects,memoryHook,sourceNote,confidence
u3-001,1643–1715,1643,1715,range,Reign of Louis XIV,period,3,3.2,France,political,SOP,1,"The 'Sun King' creates the model of absolute monarchy: Versailles, divine right, centralized administration, mercantilism under Colbert, and aggressive foreign policy.","Louis XIV is THE example of absolutism on the AP exam. Everything about his reign — Versailles, revocation of Edict of Nantes, wars, Colbert's mercantilism — is essential.",French Wars of Religion and Thirty Years' War exhaustion create desire for order; Richelieu and Mazarin's centralization groundwork; Fronde rebellion (1648-53) convinces Louis to control nobility,Versailles palace controls nobility; Revocation of Edict of Nantes (1685); Wars of expansion (drain treasury); France as dominant European power; Model for other absolute monarchs,"Louis XIV: 'L'état, c'est moi' — the Sun King at Versailles",Viault Ch.8; CED,high
u3-002,1685,1685,1685,exact,Revocation of the Edict of Nantes,event,3,3.2,France,religion; political,SOP; CID,1,"Louis XIV revokes Huguenot protections, forcing conversion or exile — ~200,000 Huguenots flee France, taking skills and capital to rival nations.","Perfect example of absolutist intolerance. Brain drain weakens France economically while strengthening Protestant rivals (Prussia, Netherlands, England).",Louis XIV's desire for religious uniformity; Divine-right absolutism demands one faith; Gradual erosion of Huguenot rights,"~200,000 Huguenots flee France; Economic harm to France (loss of skilled workers); Strengthens Protestant economies (Prussia, Netherlands); International Protestant outrage",1685: Louis revokes Nantes → Huguenots flee → France loses,Viault Ch.8; CED,high
u3-003,c. 1600–1700,1600,1700,range,Dutch Golden Age,period,3,3.3,Netherlands,economic; artistic; political,ECON; CID; SOP,1,"The Dutch Republic becomes Europe's leading commercial, financial, and cultural power, with religious toleration, republican government, and global trade networks.","The Dutch Republic is AP Euro's primary example of constitutionalism as an alternative to absolutism, combined with commercial prosperity and cultural achievement.","Independence from Spain; Geographic advantage for trade; Religious toleration attracts talent; Joint-stock companies (VOC, WIC)","Amsterdam becomes Europe's financial center; Dutch East India Company (VOC) dominates Asian trade; Rembrandt, Vermeer lead artistic golden age; Model of republican governance and toleration","Dutch Golden Age: trade, tolerance, tulips, and Rembrandt",CED; Viault Ch.6,high
u3-004,1628,1628,1628,exact,Petition of Right,event,3,3.4,Britain,political,SOP,2,"English Parliament forces Charles I to accept limits on royal power: no taxation without parliamentary consent, no arbitrary imprisonment, no martial law in peacetime.",Key step in English constitutionalism — Parliament asserts rights that will be fought over in the Civil War and confirmed in the Glorious Revolution.,Charles I's demands for taxes without parliamentary approval; Conflict over royal prerogative; Legacy of Magna Carta,Charles agrees but later ignores it; Contributes to outbreak of Civil War; Precedent for constitutional limits on monarchy,Petition of Right 1628: Parliament says 'No taxes without our OK',Viault Ch.7; CED,high
u3-005,1642–1651,1642,1651,range,English Civil War,war,3,3.4,Britain,war-diplomacy; political; religion,SOP; CID,1,"War between royalist Cavaliers and parliamentary Roundheads over royal authority, parliamentary rights, and religion, ending with execution of Charles I.","Central to AP constitutionalism theme: Parliament defeats the king, establishing (temporarily) a republic. The execution of a king shocks Europe and foreshadows the French Revolution.",Charles I's personal rule (1629-1640); Religious conflict (Anglicanism vs. Puritanism); Scottish rebellion; Ship money controversy; Long Parliament's demands,Charles I executed (1649); Commonwealth established under Cromwell; Temporary republican experiment; Precedent for revolution against tyranny; Restoration of monarchy (1660),"English Civil War: Roundheads beat Cavaliers, king loses his head",Viault Ch.7; CED,high
u3-006,1649–1660,1649,1660,range,English Commonwealth and Protectorate,period,3,3.4,Britain,political,SOP,2,"England experiments with republican government under Cromwell, who eventually rules as Lord Protector — effectively a military dictatorship.",Shows that revolution can lead to authoritarianism. Cromwell's rule illustrates the difficulty of creating stable non-monarchical government in early modern Europe.,Execution of Charles I; Parliamentary factions unable to govern; Cromwell's military dominance,Puritan social legislation; Conquest of Ireland and Scotland; Navigation Acts (mercantilist trade policy); Restoration of monarchy after Cromwell's death,"Cromwell: killed the king, became a king in all but name",Viault Ch.7; CED,high
u3-007,1688–1689,1688,1689,range,Glorious Revolution,event,3,3.4,Britain,political,SOP,1,"Parliament deposes Catholic James II and invites Protestant William and Mary to rule, establishing constitutional monarchy and parliamentary supremacy.","THE defining event for English constitutionalism. English Bill of Rights (1689) establishes parliamentary sovereignty, religious toleration, and limits on royal power. Directly influences Locke, the American and French Revolutions.",James II's Catholic policies and authoritarian rule; Birth of a Catholic heir; Protestant fears of Catholic dynasty; Invitation to William of Orange,English Bill of Rights (1689); Toleration Act (1689); Parliamentary sovereignty established; Constitutional monarchy model; Locke's Two Treatises justifies the revolution,"1688-89: Glorious Revolution = bloodless, Bill of Rights, Parliament wins",Viault Ch.7; CED,high
u3-008,1682–1725,1682,1725,range,Reign of Peter the Great,period,3,3.5,Russia,political; social,SOP; SOD,1,"Peter I westernizes and modernizes Russia through forced reforms: new capital (St. Petersburg), Western technology, bureaucratic centralization, and expansion to the Baltic.",Key example of absolutism outside Western Europe. Peter's reforms show both the power and limits of top-down modernization. Essential comparison with Louis XIV.,Russia's backwardness compared to Western Europe; Peter's personal exposure to Western Europe (Grand Embassy); Desire for warm-water ports and military power,Russia becomes a European great power; St. Petersburg built as 'window to the West'; Westernization of Russian elite (forced); Serfdom strengthened to fund modernization; Great Northern War victory over Sweden,"Peter the Great: shaved beards, built St. Petersburg, beat Sweden",Viault Ch.9; CED,high
u3-009,1762–1796,1762,1796,range,Reign of Catherine the Great,period,3,3.5,Russia,political; intellectual,SOP; CID,1,"Catherine II corresponds with Enlightenment philosophes but governs as an autocrat, expanding serfdom, partitioning Poland, and expanding Russian territory.",THE example of 'enlightened absolutism' — rulers use Enlightenment rhetoric to legitimize state power without truly liberalizing. Key comparison with Frederick II and Joseph II.,Enlightenment ideas reaching Russian elite; Catherine's German education and intellectual interests; Need to maintain noble support,Charter of the Nobility (1785) strengthens serfdom; Pugachev's Rebellion (1773-75) crushed; Partitions of Poland; Russia expands to Black Sea; Enlightened rhetoric without real reform,"Catherine: talked Enlightenment, walked autocracy",Viault Ch.9; CED,high
u3-010,c. 1600–1800,1600,1800,range,Mercantilism,process,3,3.2,France; Britain; Spain; Netherlands,economic; political,ECON; SOP,1,"Economic theory and practice in which the state actively manages trade, accumulates bullion, maintains favorable balance of trade, and uses colonies for raw materials.","Central AP economic concept: explains state-directed economies, colonial exploitation, Navigation Acts, Colbert's policies, and the later laissez-faire reaction (Adam Smith).",Need to finance absolutist states and armies; Competition among European powers; Colonial empires providing raw materials,State regulation of trade and industry; Colonial exploitation; Navigation Acts in England; Colbert's policies in France; Eventually provokes laissez-faire reaction,"Mercantilism: gold is wealth, exports > imports, colonies serve the mother country","CED; Viault Ch.6,8",high
u4-001,1543–1700,1543,1700,range,Scientific Revolution,process,4,4.1,Italy; Britain; German States; France; Netherlands,scientific; intellectual,TSI; CID,1,"Fundamental transformation in understanding of the natural world through observation, experimentation, and mathematical reasoning, replacing Aristotelian and Ptolemaic frameworks.","Foundational AP process: challenges traditional authority (church, Aristotle), establishes empiricism and reason as ways of knowing, and leads directly to the Enlightenment.","Renaissance recovery of classical texts; Humanist emphasis on observation; New instruments (telescope, microscope); Printing press disseminates new ideas; Patronage of scientific inquiry",New understanding of the cosmos (heliocentrism); Scientific method established; Royal scientific societies founded; Challenge to church authority; Foundation for Enlightenment rationalism,"Scientific Revolution: Copernicus starts it, Newton finishes it",Viault Ch.11; CED,high
u4-002,1543,1543,1543,exact,Copernicus Publishes De Revolutionibus,work,4,4.1,German States,scientific,TSI; CID,1,"Nicolaus Copernicus proposes the heliocentric model of the solar system, challenging the Ptolemaic geocentric view held for over 1,400 years.","Begins the Scientific Revolution by challenging accepted authority. Published on his deathbed — initially limited impact, but sets up Galileo's later conflict with the Church.",Mathematical problems with Ptolemaic model; Renaissance interest in classical alternatives; Copernicus's astronomical observations,"Heliocentric theory proposed; Challenge to Aristotelian/Ptolemaic authority; Church initially tolerant, later hostile; Galileo, Kepler build on Copernicus",1543: Copernicus says Earth moves — the cosmos is rearranged,Viault Ch.11; CED,high
u4-003,1609–1619,1609,1619,range,Kepler's Laws of Planetary Motion,work,4,4.1,German States,scientific,TSI,2,"Johannes Kepler demonstrates that planets move in elliptical orbits, providing mathematical proof for the Copernican model and laying groundwork for Newton.",Bridges Copernicus and Newton: replaces circular orbits with elliptical ones and introduces mathematical laws governing celestial mechanics.,Tycho Brahe's precise observational data; Copernican heliocentric model; Kepler's mathematical genius,Elliptical orbits replace circular orbits; Mathematical laws describe planetary motion; Foundation for Newton's gravitational theory,"Kepler: planets travel in ellipses, not circles",Viault Ch.11; CED,high
u4-004,1610–1633,1610,1633,range,Galileo's Discoveries and Trial,event,4,4.1,Italy,scientific; religion,TSI; CID,1,"Galileo uses the telescope to confirm Copernican theory, publishes findings, and is tried by the Inquisition, forced to recant heliocentrism.",THE example of science vs. church authority in AP Euro. Galileo's trial symbolizes the tension between empirical evidence and institutional dogma.,"Galileo's telescopic observations (moons of Jupiter, phases of Venus); Church defense of geocentric model; Galileo's provocative writing style","Heliocentrism gains evidential support; Church condemns heliocentrism (1616, 1633); Galileo under house arrest; Science-religion conflict becomes a theme in European thought","Galileo: 'And yet it moves' (probably apocryphal, but captures the point)",Viault Ch.11; CED,high
u4-005,1687,1687,1687,exact,Newton Publishes Principia Mathematica,work,4,4.1,Britain,scientific,TSI; CID,1,"Isaac Newton publishes his laws of motion and universal gravitation, providing a unified mathematical framework explaining terrestrial and celestial mechanics.","Culmination of the Scientific Revolution. Newton's mechanistic universe becomes the model for Enlightenment thinkers who seek similar 'natural laws' in society, politics, and economics.","Work of Copernicus, Kepler, Galileo; Development of calculus; Newton's mathematical genius",Unified physics: same laws govern Earth and heavens; Mechanistic worldview dominates 18th-century thought; Inspires Enlightenment search for natural laws in society; Deism emerges (God as clockmaker),Newton 1687: gravity + laws of motion = the universe explained mathematically,Viault Ch.11; CED,high
u4-006,c. 1685–1800,1685,1800,range,The Enlightenment,process,4,4.2,France; Britain; German States; Netherlands; Italy,intellectual,CID,1,"Intellectual movement applying reason, natural law, and scientific thinking to politics, society, religion, and economics — seeking progress, liberty, and toleration.","Arguably the most important intellectual movement in AP Euro. Provides the ideological foundation for the French Revolution, liberalism, constitutionalism, human rights, and modern secular society.",Scientific Revolution demonstrates power of reason; Locke's empiricism and political philosophy; Expansion of print culture and literacy; Salon culture and public sphere; Religious toleration debates,"Challenges to absolutism, church authority, and tradition; Ideas of natural rights, social contract, separation of powers; Adam Smith's laissez-faire economics; Enlightened absolutism; French Revolution ideologically grounded in Enlightenment",Enlightenment: reason is king; question everything; progress is possible,Viault Ch.12; CED,high
u4-007,1690,1690,1690,exact,Locke Publishes Two Treatises of Government,work,4,4.2,Britain,intellectual; political,CID; SOP,1,"John Locke argues that government is based on a social contract, people have natural rights (life, liberty, property), and revolution against tyranny is justified.","Single most influential political thinker for AP Euro. Locke's ideas directly influence the American Revolution, French Revolution, and all subsequent liberal political thought.",Glorious Revolution demonstrates peaceful regime change; Rejection of Hobbes's absolutism; Empiricist philosophy applied to politics,"Foundation of liberal political theory; Natural rights doctrine; Social contract theory; Right of revolution; Influences Montesquieu, Jefferson, Declaration of Rights of Man","Locke: life, liberty, property — government by consent, right to revolt",Viault Ch.12; CED,high
u4-008,1748,1748,1748,exact,Montesquieu Publishes The Spirit of the Laws,work,4,4.2,France,intellectual; political,CID; SOP,1,"Baron de Montesquieu argues for separation of powers (executive, legislative, judicial) as the best safeguard against tyranny, drawing on the English model.",Directly influences the U.S. Constitution and revolutionary constitutions in France. Key Enlightenment political text alongside Locke and Rousseau.,Study of English constitutional government; Enlightenment emphasis on rational governance; Desire to prevent absolutist tyranny,Separation of powers becomes constitutional principle; Influences American and French constitutions; Model for checks and balances,Montesquieu: three branches of government keep each other in check,Viault Ch.12; CED,high
u4-009,1762,1762,1762,exact,Rousseau Publishes The Social Contract,work,4,4.2,France; Switzerland,intellectual; political,CID; SOP,1,"Jean-Jacques Rousseau argues that legitimate government rests on the 'general will' of the people; sovereignty belongs to the community, not to a monarch.",Rousseau's 'general will' inspires the most radical phase of the French Revolution. Also foundational for nationalism and democratic theory. Key comparison with Locke.,Enlightenment questioning of absolute authority; Rousseau's unique critique of civilization and inequality; Influence of classical republican ideals,Concept of popular sovereignty; 'General will' used by Jacobins during French Revolution; Foundation for democratic nationalism; Influence on Romanticism (rejection of pure rationalism),"Rousseau: 'Man is born free, and everywhere he is in chains' → general will",Viault Ch.12; CED,high
u4-010,1751–1772,1751,1772,range,Diderot's Encyclopédie Published,work,4,4.2,France,intellectual,CID; TSI,2,"Denis Diderot and d'Alembert compile the Encyclopédie, a massive reference work intended to secularize knowledge, promote reason, and challenge traditional authority.","The Encyclopédie embodies the Enlightenment project: make knowledge accessible, promote rational inquiry, and implicitly critique church and state authority.",Enlightenment emphasis on reason and knowledge; Growing print culture and literacy; Diderot's intellectual ambition,Spread of Enlightenment ideas across Europe; Challenged censorship (repeatedly banned); Model for rational organization of knowledge; Promoted technological and scientific progress,Encyclopédie: Diderot's weapon of mass education,Viault Ch.12; CED,high
u4-011,1776,1776,1776,exact,Adam Smith Publishes The Wealth of Nations,work,4,4.3,Britain,economic; intellectual,ECON; CID,1,"Adam Smith argues for free-market economics, the 'invisible hand,' and laissez-faire — challenging mercantilism and founding classical economics.","Directly challenges mercantilism, supports Industrial Revolution-era capitalism, and provides the economic theory that dominates the 19th century. Key comparison with socialism.",Enlightenment application of reason to economics; Critique of mercantilist restrictions; Observation of emerging market economy,Laissez-faire becomes dominant economic ideology; Free trade advocacy; Challenge to government regulation of economy; Foundation for 19th-century liberalism; Later challenged by socialism,"Adam Smith 1776: invisible hand, free markets, no government meddling",Viault Ch.12; CED,high
u4-012,c. 1700–1800,1700,1800,range,Salons and the Public Sphere,process,4,4.2,France; Britain; German States,social; intellectual,CID; SOD,2,"Salons, coffeehouses, Masonic lodges, and reading societies create spaces for Enlightenment ideas to circulate among educated elites, forming a 'public sphere.'","Shows how Enlightenment ideas spread socially, not just through books. Salons also highlight women's intellectual roles (as salon hostesses) even in a patriarchal society.",Growth of literacy and print culture; Urbanization; Enlightenment emphasis on discussion and debate; Women's exclusion from formal institutions creates alternative spaces,Ideas spread across social barriers; Public opinion becomes a political force; Women participate as salon leaders; Foundation for later civil society,Salons: where Enlightenment ideas met high society (hostesses included),CED,high
u5-001,1789,1789,1789,exact,French Revolution Begins,event,5,5.1,France,political; social,SOP; SOD; CID,1,Financial crisis forces Louis XVI to convene Estates-General; Third Estate breaks away as National Assembly; Bastille stormed on July 14.,THE central event of AP Euro. The Revolution's stages (liberal → radical → authoritarian) provide the template for understanding all subsequent revolutions.,"Enlightenment ideas (Locke, Rousseau, Montesquieu); Financial crisis from wars and extravagance; Social inequality (Three Estates); American Revolution as model; Bad harvests and bread prices",Declaration of Rights of Man (August 1789); Abolition of feudal privileges; Constitutional monarchy attempted; Radicalization → Republic → Terror → Napoleon,"1789: Bastille falls, feudalism abolished, Rights of Man declared",Viault Ch.14; CED,high
u5-002,1789,1789,1789,exact,Declaration of the Rights of Man and Citizen,event,5,5.1,France,political; intellectual,SOP; CID,1,"National Assembly declares universal natural rights: liberty, property, security, resistance to oppression; sovereignty resides in the nation.","Foundation document of modern human rights. Directly inspired by Enlightenment thought. Key evidence for any essay on political developments, rights, or Enlightenment influence.","Enlightenment philosophy (Locke, Rousseau); American Declaration of Independence as model; Desire to establish principles for new government",Legal equality declared; Old Regime privileges abolished in principle; Inspires subsequent declarations of rights worldwide; Women excluded (Olympe de Gouges protests),Rights of Man: 'Men are born and remain free and equal in rights',Viault Ch.14; CED,high
u5-003,1791,1791,1791,exact,Civil Constitution of the Clergy,event,5,5.1,France,religion; political,SOP; CID,2,"National Assembly subordinates the Catholic Church to the state, requiring clergy to swear loyalty oaths — splits French society.","Alienates Catholic population, creates counter-revolutionary opposition, and demonstrates the tension between revolutionary secularism and traditional faith.",Enlightenment anticlericalism; Need for church lands to solve financial crisis; Desire to subordinate all institutions to the nation,Clergy divided between 'juring' and 'non-juring'; Catholic resistance to Revolution; Vendée uprising; Deepens revolutionary divisions,Civil Constitution: clergy must swear to the Revolution — church splits,Viault Ch.14; CED,high
u5-004,1792–1794,1792,1794,range,Radical Phase and Reign of Terror,period,5,5.2,France,political; social,SOP; SOD,1,"Revolution radicalizes: monarchy abolished, king executed, Committee of Public Safety under Robespierre wages Terror against 'enemies of the Republic.'","Shows how revolution can radicalize: from liberal reform to mass executions. Reign of Terror (~17,000 executed) demonstrates the dark side of revolutionary idealism.",War with Austria and Prussia; Internal counter-revolution; Sans-culottes pressure for radical action; Jacobin ideology of virtue and terror,"Louis XVI executed (Jan 1793); ~17,000 officially executed during Terror; Mass mobilization (levée en masse); De-Christianization campaign; Thermidorian Reaction (July 1794) ends Terror",Terror: Robespierre = 'Republic of Virtue' enforced by guillotine,Viault Ch.14; CED,high
u5-005,1799–1815,1799,1815,range,Napoleon's Rule,period,5,5.3,France; Italy; German States; Spain; Austria; Russia,political; war-diplomacy,SOP; NEI,1,"Napoleon rises from military hero to Emperor, consolidating revolutionary reforms (Napoleonic Code) while waging wars of conquest across Europe.","Napoleon both preserves and betrays the Revolution. His conquests spread revolutionary ideas (nationalism, legal equality) while provoking nationalist resistance. Essential for causation essays.",French Revolution's instability; Napoleon's military genius; Desire for order after revolutionary chaos; French nationalism,Napoleonic Code establishes legal equality; Continental System (economic warfare); Nationalist reactions across Europe; Invasion of Russia (1812) — catastrophic defeat; Congress of Vienna restores conservative order,Napoleon: revolution's general becomes Europe's emperor; Code outlasts conquests,Viault Ch.15; CED,high
u5-006,1814–1815,1814,1815,range,Congress of Vienna,event,5,5.4,Austria; France; Britain; Russia; German States,war-diplomacy; political,SOP; NEI,1,"Metternich, Castlereagh, Talleyrand, and Alexander I redraw Europe's map after Napoleon, guided by balance of power, legitimacy, and compensation.",Establishes the post-Napoleonic conservative order. Congress system maintains peace (mostly) until 1853. Key comparison with Treaty of Versailles.,Defeat of Napoleon; Desire to prevent future French aggression; Conservative reaction against revolutionary principles,Balance of power restored; Legitimate dynasties restored; Concert of Europe maintains order; Nationalism and liberalism suppressed but not eliminated; Seeds of 1830 and 1848 revolutions,Vienna 1815: Metternich dances while redrawing the map,Viault Ch.16; CED,high
u6-001,c. 1760–1840,1760,1840,range,Industrial Revolution (First),process,6,6.1,Britain; France; German States; Belgium,economic; scientific; social,ECON; TSI; SOD,1,"Transformation from agrarian/handicraft economy to machine-powered factory production, beginning in British textiles and spreading to continental Europe.","Alongside the French Revolution, the most transformative development in AP Euro. Changes everything: class structure, urbanization, politics, family life, environment, and global power.","Agricultural revolution increases food supply; Available capital from commercial revolution; Access to coal and iron; Stable government and property rights in Britain; Technological innovations (spinning jenny, water frame, steam engine)",Factory system and urbanization; New social classes (industrial bourgeoisie and proletariat); Child and women labor exploitation; Railroads transform transportation; Basis for British global dominance; Inspires socialism and labor movements,Industrial Revolution: steam + factories + cities = modern world born in Britain,Viault Ch.20; CED,high
u6-002,c. 1800–1850,1800,1850,range,Urbanization and Social Consequences,process,6,6.2,Britain; France; German States; Belgium,social; economic,SOD; ECON,1,"Rapid growth of industrial cities creates overcrowding, pollution, disease, child labor, and class tensions while also generating new forms of social organization.","Essential for AP social history: industrialization creates both unprecedented wealth and unprecedented misery. Key evidence for essays on social change, reform, and class conflict.",Factory system concentrates workers in cities; Rural-to-urban migration; Lack of urban planning or sanitation infrastructure,"Public health crises (cholera, typhus); Child labor in factories and mines; Working-class movements emerge; Reform legislation (Factory Acts, public health acts); New class consciousness","Urbanization: factories bring people, people bring problems",Viault Ch.20; CED,high
u6-003,c. 1830–1850,1830,1850,range,Railroad Expansion,process,6,6.1,Britain; France; German States; Belgium,economic; scientific,TSI; ECON,2,"Railroad networks rapidly expand across Europe, dramatically reducing transportation costs, integrating markets, spurring heavy industry, and reshaping social experience.","Railroads are the signature technology of industrialization: they accelerate everything — trade, urbanization, nationalism (e.g., Zollverein), and military mobilization.",Steam engine technology; Demand for efficient coal and goods transport; Government and private investment,"Integrated national markets; Urbanization accelerated; Heavy industry (iron, steel, coal) stimulated; National unity fostered (German Zollverein); Social mobility and new experiences of time/space",Railroads: iron horses pulling Europe into the modern age,Viault Ch.20; CED,high
u7-001,1830,1830,1830,exact,Revolutions of 1830,event,7,7.1,France; Belgium; German States; Italy,political,SOP; NEI,2,Wave of revolutions: France replaces Bourbon with Orléans monarchy; Belgium wins independence from Netherlands; revolts in Italy and Poland fail.,"Shows that revolutionary ideals of 1789 are not dead despite Vienna settlement. Mixed results: success in France and Belgium, failure in Italy and Poland.",Post-Vienna conservative repression; Liberal and nationalist aspirations; Charles X's reactionary policies in France,Louis-Philippe becomes 'citizen king' in France; Belgian independence; Failed revolts strengthen conservative resolve in Central/Eastern Europe; Liberal-nationalist alliance demonstrated,"1830: France gets a new king, Belgium gets independence, rest gets crushed",Viault Ch.18; CED,high
u7-002,1848,1848,1848,exact,Revolutions of 1848,event,7,7.2,France; German States; Austria; Italy; Hungary,political; social; nationalism,SOP; NEI; SOD,1,"'Springtime of Peoples': revolutions sweep across Europe demanding liberal constitutions, national self-determination, and social reform — all ultimately fail.","The most widespread revolutionary wave in European history. Their failure shows the power of conservatism, military force, and divisions among revolutionaries. Pivotal turning point.",Economic crisis and famine (1846-47); Liberal and nationalist frustrations since 1815; Urban working-class grievances; Failure of moderate reform,All revolutions ultimately fail; Second French Republic (briefly); Frankfurt Parliament fails to unify Germany; Habsburg Empire survives; Nationalism becomes more conservative/militaristic (Realpolitik); Liberals disillusioned,"1848: revolutions everywhere, success nowhere — the 'turning point that failed to turn'",Viault Ch.22; CED,high
u7-003,1848,1848,1848,exact,Marx and Engels Publish The Communist Manifesto,work,7,7.3,German States; Britain,intellectual; economic; social,CID; ECON; SOD,1,"Karl Marx and Friedrich Engels call for proletarian revolution to overthrow capitalism, abolish private property, and create a classless communist society.","Most influential socialist text in history. Marx's ideas shape labor movements, inspire the Russian Revolution, and define one side of the 20th-century ideological divide.",Industrial Revolution creates urban proletariat; Worker exploitation and class consciousness; Hegelian dialectical philosophy; Enlightenment faith in progress through reason,Foundation of Marxist/communist ideology; International socialist and labor movements; Influences Russian Revolution (1917); Cold War ideological division; Challenges to liberal capitalism,"Marx 1848: 'Workers of the world, unite!' — class struggle drives history",Viault Ch.21; CED,high
u7-004,c. 1830–1914,1830,1914,range,Labor Movements and Reforms,process,7,7.3,Britain; France; German States,social; political; economic,SOD; ECON; SOP,2,"Workers organize trade unions, strike, and agitate for better conditions; governments respond with factory acts, public health legislation, and eventual welfare measures.","Shows the dialectic between industrial exploitation and reform — neither pure capitalism nor revolution, but gradual improvement through political pressure.",Industrial working conditions; Chartism in Britain; Socialist and Marxist ideas; Working-class political consciousness,Factory Acts limit hours and child labor; Trade unions legalized; Expanded suffrage; Bismarck's welfare state; Fabian socialism and reformism,"Workers organize, strike, vote — capitalism slowly reforms itself","CED; Viault Ch.21,24",high
u7-005,1861–1871,1861,1871,range,German Unification,process,7,7.4,German States,political; war-diplomacy; nationalism,SOP; NEI,1,"Bismarck unifies Germany through 'blood and iron' — three wars (Denmark, Austria, France) create a Prussian-led German Empire proclaimed at Versailles in 1871.",Transforms the European balance of power. German unification through Realpolitik (not liberalism) becomes the model for power politics. Creates the conditions for WWI.,Failure of liberal unification in 1848; Bismarck's Realpolitik strategy; Prussian military and industrial strength; Nationalism as a political tool,German Empire proclaimed (1871); France humiliated → Franco-German rivalry; European balance of power disrupted; Bismarck's alliance system; Kulturkampf against Catholics,Bismarck: 'blood and iron' → three wars → Germany united 1871,Viault Ch.23; CED,high
u7-006,1859–1871,1859,1871,range,Italian Unification,process,7,7.4,Italy,political; war-diplomacy; nationalism,SOP; NEI,1,"Italy unifies through combination of Cavour's diplomacy, Garibaldi's military campaigns, and French support, creating the Kingdom of Italy by 1861 (Rome added 1870).",Key comparison with German unification: both driven by nationalism but different methods (diplomacy + popular uprising vs. military force). Shows complexity of nationalism.,Failure of 1848 revolutions; Cavour's diplomatic skill; Garibaldi's popular nationalism; French alliance against Austria,Kingdom of Italy proclaimed (1861); Rome becomes capital (1870); 'Roman Question' with papacy; Italy remains divided between north and south; New player in European power politics,"Italian unification: Cavour plots, Garibaldi fights, Victor Emmanuel reigns",Viault Ch.23; CED,high
u7-007,c. 1870–1914,1870,1914,range,New Imperialism,process,7,7.5,Britain; France; German States; Belgium; Italy; Russia,imperial; economic; political; nationalism,INT; ECON; NEI,1,"European powers scramble to colonize Africa, Asia, and the Pacific, driven by economic competition, nationalism, military rivalry, Social Darwinism, and technological superiority.","Defines the age: connects nationalism, racism, capitalism, and great-power rivalry. Berlin Conference (1884-85) partitions Africa. Generates tensions that contribute to WWI.","Industrial need for raw materials and markets; Nationalism and great-power competition; Social Darwinism and racial ideology; Technological superiority (quinine, machine guns, steamships); Strategic/military considerations",Most of Africa and much of Asia colonized; Berlin Conference (1884-85); Exploitation of colonial peoples; Increased European rivalries; White man's burden ideology; Anti-colonial resistance,New Imperialism: Europe carves up Africa and Asia — Berlin Conference = the knife,Viault Ch.27; CED,high
u7-008,1859,1859,1859,exact,Darwin Publishes On the Origin of Species,work,7,7.6,Britain,scientific; intellectual,TSI; CID,1,"Charles Darwin proposes evolution by natural selection, challenging religious explanations of creation and transforming biology, social thought, and philosophy.","Revolutionary scientific work that challenges traditional religion, inspires Social Darwinism (misapplication), and reshapes intellectual life. Key science-religion comparison.",Voyage on HMS Beagle; Geological evidence of deep time; Malthus's population theory,Theory of evolution becomes scientific consensus; Church-science conflict intensified; Social Darwinism misapplied to justify racism and imperialism; Secularization of intellectual life accelerated,"Darwin 1859: natural selection = evolution, not creation",Viault Ch.26; CED,high
u7-009,1894–1906,1894,1906,range,Dreyfus Affair,event,7,7.7,France,political; social,SOP; NEI; SOD,2,"French Jewish army officer Alfred Dreyfus wrongly convicted of treason; affair exposes deep divisions over antisemitism, militarism, clericalism, and republicanism.","Reveals persistence of antisemitism, division between republican/secular and conservative/clerical France, and the power of mass media and public opinion.",Antisemitism in French army and society; Forged evidence; Military-clerical establishment protects real spy,Dreyfus eventually exonerated; Émile Zola's 'J'accuse' galvanizes public opinion; Separation of church and state in France (1905); Theodor Herzl inspired to launch Zionism,Dreyfus: wrongly convicted Jew splits France — Zola says 'J'accuse!',Viault Ch.24; CED,high
u8-001,1914–1918,1914,1918,range,World War I,war,8,8.1,France; Britain; German States; Austria; Russia; Italy,war-diplomacy; political; social,SOP; SOD; INT,1,"Unprecedented total war: alliance systems, trench warfare, new technology, home front mobilization, and massive casualties (10+ million dead) reshape Europe.","Destroys four empires (Ottoman, Austro-Hungarian, Russian, German), produces the Russian Revolution, redraws the map of Europe, and creates conditions for WWII. The 20th century's defining catastrophe.",Alliance systems (Triple Alliance vs. Triple Entente); Militarism and arms race; Nationalism and imperial rivalries; Balkans as powder keg; Assassination of Archduke Franz Ferdinand (1914),"10+ million dead; Russian Revolution (1917); German, Austro-Hungarian, Ottoman, Russian empires collapse; Treaty of Versailles; League of Nations; Women's roles transformed; Total war concept established","WWI: MAIN causes (Militarism, Alliances, Imperialism, Nationalism)",Viault Ch.28-29; CED,high
